 city, time, temperature (C°), relative humidity (%), apparent temperature (C°), pressure (psi), precipitation (mm)
Berlin,2021-12-17T22:00,1.0,96,-2.5,1030.9,0.0
Berlin,2021-12-17T23:00,0.8,97,-2.6,1030.9,0.0
Berlin,2021-12-18T00:00,0.7,97,-2.8,1030.9,0.0
Berlin,2021-12-18T01:00,0.7,97,-2.8,1031.9,0.0
Berlin,2021-12-18T02:00,0.7,96,-2.7,1031.9,0.0
Berlin,2021-12-18T03:00,0.7,94,-2.7,1031.9,0.0
Berlin,2021-12-18T04:00,0.7,94,-2.8,1032.9,0.0
Berlin,2021-12-18T05:00,0.7,94,-2.9,1032.9,0.0
Berlin,2021-12-18T06:00,0.7,95,-2.9,1033.9,0.0
Berlin,2021-12-18T07:00,-0.8,100,-3.9,1036.3,0.0
Berlin,2021-12-18T08:00,-0.8,100,-3.7,1037.3,0.0
Berlin,2021-12-18T09:00,-0.5,99,-3.3,1037.3,0.0
Berlin,2021-12-18T10:00,0.1,97,-2.8,1037.3,0.0
Berlin,2021-12-18T11:00,0.9,93,-2.1,1037.3,0.0
Berlin,2021-12-18T12:00,1.7,90,-1.3,1037.3,0.0
Berlin,2021-12-18T13:00,1.9,90,-1.1,1037.3,0.0
Berlin,2021-12-18T14:00,1.9,91,-1.1,1037.3,0.0
Berlin,2021-12-18T15:00,1.9,93,-1.1,1037.3,0.0
Berlin,2021-12-18T16:00,1.8,93,-1.1,1038.3,0.0
Berlin,2021-12-18T17:00,1.8,93,-1.2,1038.3,0.0
Berlin,2021-12-18T18:00,1.5,94,-1.4,1038.3,0.0
Berlin,2021-12-18T19:00,1.2,95,-1.7,1038.3,0.0
Berlin,2021-12-18T20:00,0.8,96,-2.2,1038.3,0.0
Berlin,2021-12-18T21:00,0.3,98,-2.6,1038.3,0.0
Berlin,2021-12-18T22:00,0.2,98,-2.6,1038.3,0.0
Berlin,2021-12-18T23:00,0.2,98,-2.5,1038.3,0.0
Berlin,2021-12-19T00:00,0.2,98,-2.4,1038.3,0.0
Berlin,2021-12-19T01:00,0.2,98,-2.5,1038.3,0.0
Berlin,2021-12-19T02:00,0.1,98,-2.6,1038.3,0.0
Berlin,2021-12-19T03:00,0.1,98,-2.7,1038.3,0.0
Berlin,2021-12-19T04:00,0.1,98,-2.7,1038.3,0.0
Berlin,2021-12-19T05:00,0.1,98,-2.7,1038.3,0.0
Berlin,2021-12-19T06:00,0.2,97,-2.6,1038.3,0.0
Berlin,2021-12-19T07:00,0.3,97,-2.5,1038.3,0.02
Berlin,2021-12-19T08:00,0.5,97,-2.3,1038.3,0.02
Berlin,2021-12-19T09:00,0.8,96,-2.0,1038.3,0.02
Berlin,2021-12-19T10:00,1.2,94,-1.6,1038.3,0.01
Berlin,2021-12-19T11:00,1.7,91,-1.2,1038.3,0.01
Berlin,2021-12-19T12:00,2.2,89,-0.7,1038.3,0.01
Berlin,2021-12-19T13:00,2.4,88,-0.5,1037.3,0.0
Berlin,2021-12-19T14:00,2.5,88,-0.4,1037.3,0.0
Berlin,2021-12-19T15:00,2.4,89,-0.4,1037.3,0.0
Berlin,2021-12-19T16:00,2.3,90,-0.6,1037.3,0.0
Berlin,2021-12-19T17:00,2.0,92,-0.8,1037.3,0.0
Berlin,2021-12-19T18:00,1.6,94,-1.2,1038.3,0.0
Berlin,2021-12-19T19:00,1.2,95,-1.6,1037.3,0.0
Berlin,2021-12-19T20:00,0.8,96,-2.1,1037.3,0.0
Berlin,2021-12-19T21:00,0.5,97,-2.5,1037.3,0.0
Berlin,2021-12-19T22:00,0.5,97,-2.4,1037.3,0.0
Berlin,2021-12-19T23:00,0.7,97,-2.2,1037.3,0.0
Paris,2021-12-13T00:00,9.6,96,8.4,1027.9,0.0
Paris,2021-12-13T01:00,9.4,96,8.0,1027.4,0.0
Paris,2021-12-13T02:00,9.2,97,7.9,1027.4,0.0
Paris,2021-12-13T03:00,9.1,98,7.9,1027.4,0.0
